Número;Fecha de la reservación;Mes de reservación;País;Mes de reserva;Días de Anticipación;Fecha de entrada;Fecha de salida;Días;Vuelo;Carro;Lugar
58;21/2/2024;Febrero;Estados Unidos;Febrero;2;23/2/2024;26/2/2024;3;-;Rav4;SJO
59;24/1/2024;Enero;Estados Unidos;Febrero;31;24/2/2024;28/2/2024;4;-;Terios;SJO
60;28/1/2024;Enero;España;Febrero;27;24/2/2024;5/3/2024;10;EVE857;Vitara;SJO
61;8/10/2023;Octubre;Austria;Febrero;140;25/2/2024;11/3/2024;15;-;Terios;SJO
62;31/1/2024;Enero;España;Febrero;27;27/2/2024;19/3/2024;21;CM779;Terios;SJO
63;5/2/2024;Febrero;Francia;Febrero;22;27/2/2024;6/3/2024;8;-;Rav4;SJO
64;13/1/2024;Enero;Estados Unidos;Febrero;47;29/2/2024;9/3/2024;9;UA1055;Vitara;SJO
65;29/1/2024;Enero;Israel;Marzo;33;2/3/2024;10/3/2024;8;-;Rav4;SJO
66;5/2/2024;Febrero;República Checa;Marzo;26;2/3/2024;16/3/2024;14;DM1633;Chery;SJO
67;26/2/2024;Febrero;Estados Unidos;Marzo;5;2/3/2024;7/3/2024;5;-;Rush;SJO
68;24/1/2024;Enero;Estados Unidos;Marzo;38;2/3/2024;14/3/2024;12;AA1593;Terios;SJO
69;23/10/2023;Octubre;Estados Unidos;Marzo;132;3/3/2024;19/3/2024;16;UA1096;ASX;SJO
70;14/1/2024;Enero;Estados Unidos;Marzo;51;5/3/2024;25/3/2024;20;CM779;Grand Vitara;SJO
71;13/6/2023;Junio;Alemania;Marzo;266;5/3/2024;20/3/2024;15;-;Vitara;SJO
72;1/2/2024;Febrero;Estados Unidos;Marzo;33;5/3/2024;12/3/2024;7;DL1898;Terios;SJO
73;30/11/2023;Noviembre;Estados Unidos;Marzo;97;6/3/2024;13/3/2024;7;-;Rav4;SJO
74;2/2/2024;Febrero;Israel;Marzo;36;9/3/2024;28/3/2024;19;-;Rav4;SJO
75;7/2/2024;Febrero;Hungría;Marzo;32;10/3/2024;15/3/2024;5;-;Vitara;SJO
76;18/8/2023;Agosto;Estados Unidos;Marzo;207;12/3/2024;20/3/2024;8;-;Grand Vitara;SJO
77;5/2/2024;Febrero;España;Marzo;37;13/3/2024;20/3/2024;7;-;Terios;SJO
78;19/1/2024;Enero;Alemania;Marzo;54;13/3/2024;2/4/2024;20;AC957;Vitara;SJO
79;19/1/2024;Enero;Canadá ;Marzo;54;13/3/2024;25/3/2024;12;-;Rav4;SJO
80;18/1/2024;Enero;Israel;Marzo;57;15/3/2024;27/3/2024;12;-;Montero ;SJO
81;14/2/2024;Febrero;Alemania;Marzo;30;15/3/2024;19/3/2024;4;LH518;Terios;SJO
